Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.103,,2019-04-13 12:07:01,2019-04-13 12:07:50,49.288s,FAILED
,,,,,,
Test Cases/April13/failure_handling,Chrome 73.0.3683.103,,2019-04-13 12:07:01,2019-04-13 12:07:50,48.722s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 12:07:02,2019-04-13 12:07:08,5.596s,PASSED
navigateToUrl(url),Chrome 73.0.3683.103,,2019-04-13 12:07:08,2019-04-13 12:07:11,3.609s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 73.0.3683.103,,2019-04-13 12:07:11,2019-04-13 12:07:12,0.169s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 73.0.3683.103,,2019-04-13 12:07:12,2019-04-13 12:07:12,0.213s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 12:07:12,2019-04-13 12:07:15,3.549s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""))",Chrome 73.0.3683.103,,2019-04-13 12:07:15,2019-04-13 12:07:47,31.200s,FAILED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-13 12:07:47,2019-04-13 12:07:48,1.472s,FAILED
