Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTestSuite,Chrome 73.0.3683.103,,2019-04-13 12:51:32,2019-04-13 12:52:05,32.923s,FAILED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-13 12:51:33,2019-04-13 12:51:49,16.162s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 12:51:34,2019-04-13 12:51:39,5.884s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Chrome 73.0.3683.103,,2019-04-13 12:51:39,2019-04-13 12:51:43,3.517s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 73.0.3683.103,,2019-04-13 12:51:43,2019-04-13 12:51:43,0.272s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 73.0.3683.103,,2019-04-13 12:51:43,2019-04-13 12:51:44,0.419s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 12:51:44,2019-04-13 12:51:45,1.729s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-13 12:51:45,2019-04-13 12:51:47,1.296s,PASSED
,,,,,,
Test Cases/April13/DataDrivenTest,Chrome 73.0.3683.103,,2019-04-13 12:51:49,2019-04-13 12:52:05,16.202s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 12:51:49,2019-04-13 12:51:52,3.334s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Chrome 73.0.3683.103,,2019-04-13 12:51:52,2019-04-13 12:51:59,7.102s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 73.0.3683.103,,2019-04-13 12:51:59,2019-04-13 12:51:59,0.247s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 73.0.3683.103,,2019-04-13 12:51:59,2019-04-13 12:52:01,1.980s,FAILED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-13 12:52:01,2019-04-13 12:52:02,0.125s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-13 12:52:02,2019-04-13 12:52:03,1.377s,FAILED
